                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.5077,                 2.4059,                 2.0717,                0.54888,                0.47234,                0.48186,                0.24805,                 1.6321,                  1.614,                 2.1797,             9.9025e-05,             9.9025e-05,             9.9025e-05
                     63,                  1.512,                 2.3741,                 2.0641,                0.61638,                0.43569,                0.47954,                0.26142,                  1.573,                 1.5582,                 2.1153,              9.655e-05,              9.655e-05,              9.655e-05
                     64,                 1.5005,                 2.3765,                  2.066,                0.58959,                0.45978,                0.47037,                0.24271,                 1.6741,                 1.5832,                 2.2118,             9.4075e-05,             9.4075e-05,             9.4075e-05
                     65,                 1.4963,                  2.382,                 2.0538,                0.47835,                0.48416,                0.48716,                0.24124,                 1.7009,                 1.5984,                  2.236,               9.16e-05,               9.16e-05,               9.16e-05
                     66,                  1.487,                 2.3721,                 2.0669,                0.65599,                0.41659,                 0.4727,                0.25071,                 1.5647,                 1.5794,                  2.119,             8.9125e-05,             8.9125e-05,             8.9125e-05
                     67,                  1.477,                 2.3414,                 2.0411,                0.53552,                0.46774,                0.48981,                0.24728,                 1.6815,                 1.5679,                 2.2055,              8.665e-05,              8.665e-05,              8.665e-05
                     68,                 1.4898,                 2.3562,                 2.0542,                0.57639,                0.46957,                 0.4869,                0.24573,                 1.6558,                 1.6393,                 2.1935,             8.4175e-05,             8.4175e-05,             8.4175e-05
                     69,                 1.4846,                 2.3108,                 2.0475,                0.64574,                0.43741,                0.48236,                0.25546,                 1.5949,                  1.535,                 2.1493,               8.17e-05,               8.17e-05,               8.17e-05
                     70,                 1.5005,                 2.3667,                 2.0653,                0.52873,                0.50617,                0.49893,                0.25457,                 1.6437,                  1.569,                  2.188,             7.9225e-05,             7.9225e-05,             7.9225e-05
                     71,                 1.4749,                 2.3354,                 2.0499,                 0.5826,                0.45405,                0.48897,                0.25683,                 1.5711,                 1.5335,                 2.1264,              7.675e-05,              7.675e-05,              7.675e-05
                     72,                 1.4748,                 2.3008,                 2.0468,                0.62498,                0.42987,                0.49102,                0.25663,                 1.6157,                 1.5242,                 2.1687,             7.4275e-05,             7.4275e-05,             7.4275e-05
                     73,                 1.4798,                 2.3213,                 2.0492,                0.57336,                0.46706,                0.48963,                0.26224,                 1.5668,                 1.5285,                 2.1234,               7.18e-05,               7.18e-05,               7.18e-05
                     74,                 1.4702,                   2.29,                 2.0315,                0.62027,                0.44661,                  0.492,                0.25882,                   1.59,                 1.5111,                 2.1349,             6.9325e-05,             6.9325e-05,             6.9325e-05
                     75,                 1.4661,                 2.2764,                 2.0392,                0.60124,                0.47423,                0.51324,                0.27812,                 1.5084,                 1.4882,                 2.0596,              6.685e-05,              6.685e-05,              6.685e-05
                     76,                 1.4636,                 2.2569,                 2.0405,                0.54421,                0.50833,                0.51687,                0.28384,                 1.5259,                 1.4691,                   2.06,             6.4375e-05,             6.4375e-05,             6.4375e-05
                     77,                 1.4717,                 2.3115,                 2.0442,                0.62832,                0.46078,                0.51756,                0.27215,                 1.6203,                 1.5239,                 2.1494,               6.19e-05,               6.19e-05,               6.19e-05
                     78,                 1.4571,                 2.2784,                 2.0236,                0.61776,                  0.473,                 0.5166,                0.27931,                 1.5124,                 1.4742,                 2.0511,             5.9425e-05,             5.9425e-05,             5.9425e-05
                     79,                 1.4632,                 2.2808,                 2.0169,                0.61074,                0.46624,                0.51592,                 0.2733,                   1.53,                 1.4973,                 2.0562,              5.695e-05,              5.695e-05,              5.695e-05
                     80,                 1.4631,                 2.2556,                 2.0355,                0.62391,                0.49241,                0.50441,                0.27056,                 1.5572,                 1.4653,                 2.0737,             5.4475e-05,             5.4475e-05,             5.4475e-05
                     81,                 1.4411,                 2.2291,                 2.0103,                0.63833,                0.44287,                0.50022,                0.25841,                 1.6225,                 1.5046,                  2.164,                5.2e-05,                5.2e-05,                5.2e-05
                     82,                 1.4392,                   2.21,                 2.0006,                0.59875,                0.49241,                0.50453,                 0.2764,                 1.5135,                 1.4661,                 2.0408,             4.9525e-05,             4.9525e-05,             4.9525e-05
                     83,                 1.4623,                 2.2699,                 2.0312,                0.63916,                0.47411,                0.53597,                0.29748,                 1.4628,                 1.4423,                 1.9937,              4.705e-05,              4.705e-05,              4.705e-05
                     84,                   1.47,                 2.2547,                 2.0272,                0.61585,                0.48118,                0.52472,                0.28769,                 1.5066,                 1.4309,                 2.0388,             4.4575e-05,             4.4575e-05,             4.4575e-05
                     85,                 1.4622,                  2.237,                 2.0336,                0.61017,                0.49631,                 0.5125,                 0.2827,                 1.5321,                 1.4411,                   2.06,               4.21e-05,               4.21e-05,               4.21e-05
                     86,                 1.4655,                  2.218,                 2.0198,                0.54217,                 0.5399,                0.52075,                0.28279,                 1.5448,                 1.4492,                 2.0704,             3.9625e-05,             3.9625e-05,             3.9625e-05
                     87,                 1.4522,                 2.2165,                 2.0032,                0.65148,                0.44909,                0.52688,                0.28838,                 1.5018,                  1.457,                 2.0361,              3.715e-05,              3.715e-05,              3.715e-05
                     88,                 1.4392,                 2.1896,                 1.9933,                 0.6344,                 0.4607,                0.51962,                0.28102,                 1.5224,                 1.4604,                 2.0523,             3.4675e-05,             3.4675e-05,             3.4675e-05
                     89,                 1.4367,                 2.1962,                 2.0154,                0.58802,                0.47949,                0.52282,                0.28323,                  1.503,                 1.4568,                 2.0368,               3.22e-05,               3.22e-05,               3.22e-05
                     90,                 1.4547,                 2.2462,                 2.0181,                0.64529,                0.45528,                0.53509,                 0.2919,                 1.5209,                 1.4465,                 2.0507,             2.9725e-05,             2.9725e-05,             2.9725e-05
                     91,                 1.2737,                 2.0616,                 1.9648,                0.59382,                0.49914,                0.52016,                0.27697,                 1.5554,                 1.4345,                 2.0748,              2.725e-05,              2.725e-05,              2.725e-05
                     92,                 1.2607,                 1.9606,                 1.9458,                0.63297,                0.48478,                0.54641,                 0.2944,                 1.5591,                 1.4356,                 2.0816,             2.4775e-05,             2.4775e-05,             2.4775e-05
                     93,                 1.2764,                 1.9292,                 1.9659,                0.60811,                0.51019,                0.56225,                0.31148,                 1.4953,                 1.3919,                 2.0188,               2.23e-05,               2.23e-05,               2.23e-05
                     94,                 1.2667,                  1.922,                 1.9503,                0.60657,                0.50054,                0.58518,                0.31464,                 1.4899,                 1.3926,                 2.0243,             1.9825e-05,             1.9825e-05,             1.9825e-05
                     95,                 1.2555,                 1.9207,                 1.9495,                0.66641,                0.47923,                0.58012,                0.31029,                 1.5006,                 1.3821,                  2.032,              1.735e-05,              1.735e-05,              1.735e-05
                     96,                 1.2605,                 1.8605,                 1.9455,                0.67056,                0.48758,                0.54374,                0.30213,                 1.4817,                 1.3813,                  2.011,             1.4875e-05,             1.4875e-05,             1.4875e-05
                     97,                 1.2585,                  1.863,                 1.9409,                 0.6614,                 0.4959,                0.55908,                 0.3116,                 1.4833,                 1.3678,                 2.0102,               1.24e-05,               1.24e-05,               1.24e-05
                     98,                 1.2365,                 1.8406,                 1.9246,                0.67648,                0.47568,                 0.5577,                0.31404,                 1.4765,                  1.366,                 2.0125,              9.925e-06,              9.925e-06,              9.925e-06
                     99,                  1.254,                 1.8682,                 1.9361,                0.68174,                0.46831,                0.56036,                0.31181,                 1.4981,                 1.3691,                  2.029,               7.45e-06,               7.45e-06,               7.45e-06
                    100,                  1.251,                 1.8651,                 1.9308,                0.65529,                0.48432,                0.55397,                 0.3121,                 1.4907,                 1.3695,                 2.0227,              4.975e-06,              4.975e-06,              4.975e-06
